r8.sn-poqvn5u-n0ce.a1.googlevideo.com,114.4.160.83
r1.sn-cp1oxu-n0ce.a1.googlevideo.com,118.99.92.76
r2.sn-cp1oxu-n0ce.a1.googlevideo.com,118.99.92.77
r1.sn-nx5s7nee.a1.googlevideo.com,74.125.5.230
r2.sn-nx5s7nee.a1.googlevideo.com,74.125.5.231
r3.sn-nx5s7nee.a1.googlevideo.com,74.125.5.232
r4.sn-nx5s7nee.a1.googlevideo.com,74.125.5.233
r5.sn-nx5s7nee.a1.googlevideo.com,74.125.5.234
r1.sn-n4v7snee.a1.googlevideo.com,173.194.167.166
r3.sn-n4v7snee.a1.googlevideo.com,173.194.167.168
r5.sn-npoeenle.a1.googlevideo.com,74.125.164.138
r2.sn-ntgpob5-cvpe.a1.googlevideo.com,209.141.120.141
r1.sn-nx57ynse.a1.googlevideo.com,173.194.56.6
r2.sn-nx57ynse.a1.googlevideo.com,173.194.56.7
r3.sn-nx57ynse.a1.googlevideo.com,173.194.56.8
r5.sn-nx57ynse.a1.googlevideo.com,173.194.56.10
r1.sn-uhvcpax0n5-x5ue.a1.googlevideo.com,172.56.146.12
r2.sn-uhvcpax0n5-x5ue.a1.googlevideo.com,172.56.146.13
r3.sn-uhvcpax0n5-x5ue.a1.googlevideo.com,172.56.146.14
r4.sn-uhvcpax0n5-x5ue.a1.googlevideo.com,172.56.146.15
r5.sn-uhvcpax0n5-x5ue.a1.googlevideo.com,172.56.146.16
r6.sn-uhvcpax0n5-x5ue.a1.googlevideo.com,172.56.146.17
r3.sn-2uuxa3vh-cqve.a1.googlevideo.com,118.98.77.206
r1.sn-cp1oxu-cqve.a1.googlevideo.com,182.253.80.12
r2.sn-cp1oxu-cqve.a1.googlevideo.com,182.253.80.13
r3.sn-cp1oxu-cqve.a1.googlevideo.com,182.253.80.14
r1.sn-poqvn5u-jb3k.a1.googlevideo.com,114.4.169.236
r2.sn-poqvn5u-jb3k.a1.googlevideo.com,114.4.169.237
r3.sn-poqvn5u-jb3k.a1.googlevideo.com,114.4.169.238
r4.sn-poqvn5u-jb3k.a1.googlevideo.com,114.4.169.239
r5.sn-poqvn5u-jb3k.a1.googlevideo.com,114.4.169.240
r6.sn-poqvn5u-jb3k.a1.googlevideo.com,114.4.169.241
r7.sn-poqvn5u-jb3k.a1.googlevideo.com,114.4.169.242
r8.sn-poqvn5u-jb3k.a1.googlevideo.com,114.4.169.243
r1.sn-2uuxa3vh-n0ck.a1.googlevideo.com,36.92.231.76
r2.sn-2uuxa3vh-n0ck.a1.googlevideo.com,36.92.231.77
r3.sn-2uuxa3vh-n0ck.a1.googlevideo.com,36.92.231.78
r4.sn-2uuxa3vh-n0ck.a1.googlevideo.com,36.92.231.79
r5.sn-2uuxa3vh-n0ck.a1.googlevideo.com,36.92.231.80
r6.sn-2uuxa3vh-n0ck.a1.googlevideo.com,36.92.231.81
r7.sn-2uuxa3vh-n0ck.a1.googlevideo.com,36.92.231.82
r8.sn-2uuxa3vh-n0ck.a1.googlevideo.com,36.92.231.83
r2.sn-npoe7nek.a1.googlevideo.com,74.125.12.199
r2.sn-npoeenek.a1.googlevideo.com,74.125.12.135
r4.sn-npoeenek.a1.googlevideo.com,74.125.12.137
r3.sn-npoeenlk.a1.googlevideo.com,173.194.49.168
r4.sn-npoeenlk.a1.googlevideo.com,173.194.49.169
r1.sn-nx57ynlk.a1.googlevideo.com,74.125.5.166
r2.sn-nx57ynlk.a1.googlevideo.com,74.125.5.167
r3.sn-nx57ynlk.a1.googlevideo.com,74.125.5.168
r4.sn-nx57ynlk.a1.googlevideo.com,74.125.5.169
r5.sn-nx57ynlk.a1.googlevideo.com,74.125.5.170
r2.sn-jcopn2-jb3l.a1.googlevideo.com,202.158.57.77
r1.sn-2upoxubavc5a-jb3l.a1.googlevideo.com,203.207.55.76
r2.sn-2upoxubavc5a-jb3l.a1.googlevideo.com,203.207.55.77
r1.sn-cp1oxu-jb3l.a1.googlevideo.com,182.253.220.204
r2.sn-cp1oxu-jb3l.a1.googlevideo.com,182.253.220.205
r3.sn-cp1oxu-jb3l.a1.googlevideo.com,182.253.220.206
r4.sn-cp1oxu-jb3l.a1.googlevideo.com,182.253.220.207
r5.sn-cp1oxu-jb3l.a1.googlevideo.com,182.253.220.208
r1.sn-jx25uoxu-jb3l.a1.googlevideo.com,45.121.219.12
r2.sn-jx25uoxu-jb3l.a1.googlevideo.com,45.121.219.13
r3.sn-jx25uoxu-jb3l.a1.googlevideo.com,45.121.219.14
r4.sn-jx25uoxu-jb3l.a1.googlevideo.com,45.121.219.15
r6.sn-n4v7sn7l.a1.googlevideo.com,74.125.170.188
r1.sn-2uuxa3vh-habl.a1.googlevideo.com,36.92.232.204
r2.sn-2uuxa3vh-habl.a1.googlevideo.com,36.92.232.205
r1.sn-2uuxa3vh-ngbl.a1.googlevideo.com,118.98.108.204
r2.sn-2uuxa3vh-ngbl.a1.googlevideo.com,118.98.108.205
r3.sn-2uuxa3vh-ngbl.a1.googlevideo.com,118.98.108.206
r4.sn-2uuxa3vh-ngbl.a1.googlevideo.com,118.98.108.207
